manufacturer,manufacturerPartNum,description,category,unitPrice,stockQuantity
"Microchip","SN74HC-1667-Y","Dual Operational Amplifier","Integrated Circuits",211.14,1955
"Wurth Elektronik","USBC-REC-1660-Z","Pin Header 2.54mm Pitch","Connectors",29.85,2939
"KEMET","CC-0805-6140-A","Tantalum Capacitor 16V","Capacitors",2.29,3757
"Yageo","RC-1206-5052-B","Thick Film Resistor 1%","Resistors",1.27,3344
"NXP","PIC16F-4468-C","Dual Operational Amplifier","Integrated Circuits",214.54,1791
"Molex","USBC-REC-9404-D","Pin Header 2.54mm Pitch","Connectors",33.13,4379
"TDK","CC-0805-8836-E","Ceramic Capacitor 50V","Capacitors",2.68,839
"Panasonic","ERJ-0805-3162-F","Metal Film Axial","Resistors",1.16,3500
"Microchip","STM32F2534-G","NAND Gate Quad 2-Input","Integrated Circuits",153.22,2195
"TE Connectivity","RJ45-8P8C-3332-H","Pin Header 2.54mm Pitch","Connectors",41.02,3714
"TDK","TA-1206-4185-I","Ceramic Capacitor 50V","Capacitors",2.82,558
"Bourns","RC-1206-6571-J","Metal Film Axial","Resistors",1.35,294
"NXP","LM358-6565-K","Dual Operational Amplifier","Integrated Circuits",200.17,1527
"TE Connectivity","HDR-2X5-5745-L","Modular Jack Shielded","Connectors",36.63,1689
"Samsung Electromechanics","TA-1206-1710-M","Ceramic Capacitor 50V","Capacitors",2.10,3505
"Yageo","CRCW-0603-4514-N","Precision Resistor 0.1W","Resistors",1.33,4947
"Texas Instruments","STM32F6685-O","NAND Gate Quad 2-Input","Integrated Circuits",205.66,3406
"Wurth Elektronik","HDR-2X5-5158-P","Terminal Block 3-Pos","Connectors",34.37,4168
"Vishay","CC-0805-6116-Q","Ceramic Capacitor 50V","Capacitors",2.92,1834
"Bourns","RC-1206-3550-R","Thin Film SMD Resistor","Resistors",1.33,4573
"NXP","STM32F5039-S","32-bit MCU 64KB Flash","Integrated Circuits",182.76,928
"TE Connectivity","RJ45-8P8C-8497-T","Terminal Block 3-Pos","Connectors",38.26,4219
"TDK","MLCC-0402-7972-U","Tantalum Capacitor 16V","Capacitors",2.33,4519
"Vishay","MFR-TH-7652-V","Thick Film Resistor 1%","Resistors",1.42,1167
"NXP","SN74HC-4378-W","32-bit MCU 64KB Flash","Integrated Circuits",192.77,3619
"Amphenol","USBC-REC-6505-X","Terminal Block 3-Pos","Connectors",31.94,4185
"TDK","EC-RAD-7052-Y","SMD MLCC 10%","Capacitors",2.87,397
"ROHM","RC-1206-5403-Z","Thick Film Resistor 1%","Resistors",1.29,1397
"Microchip","PIC16F-5511-A","8-bit PIC MCU","Integrated Circuits",215.85,2246
"TE Connectivity","HDR-2X5-5584-B","USB Type-C Receptacle","Connectors",38.67,2021
"Samsung Electromechanics","EC-RAD-2529-C","Ceramic Capacitor 50V","Capacitors",2.23,3110
"ROHM","MFR-TH-4879-D","Thick Film Resistor 1%","Resistors",1.17,4302
"NXP","SN74HC-3979-E","NAND Gate Quad 2-Input","Integrated Circuits",203.02,3086
"JST","TERM-3P-6520-F","Pin Header 2.54mm Pitch","Connectors",28.79,1244
"KEMET","TA-1206-2979-G","Tantalum Capacitor 16V","Capacitors",2.09,2194
"Vishay","MFR-TH-5535-H","Metal Film Axial","Resistors",1.12,2022
"Texas Instruments","SN74HC-5195-I","32-bit MCU 64KB Flash","Integrated Circuits",152.44,1061
"Molex","RJ45-8P8C-2955-J","Terminal Block 3-Pos","Connectors",30.87,1736
"Murata","TA-1206-4341-K","Electrolytic 25V","Capacitors",2.99,4904
"Yageo","MFR-TH-3254-L","Thick Film Resistor 1%","Resistors",1.43,3048
"NXP","LM358-2115-M","8-bit PIC MCU","Integrated Circuits",215.74,1203
"JST","TERM-3P-8264-N","USB Type-C Receptacle","Connectors",30.81,3481
"TDK","TA-1206-9872-O","Electrolytic 25V","Capacitors",2.87,1012
"Panasonic","RC-1206-9723-P","Precision Resistor 0.1W","Resistors",1.11,2513
"NXP","PIC16F-8068-Q","8-bit PIC MCU","Integrated Circuits",170.35,1017
"TE Connectivity","TERM-3P-3963-R","Pin Header 2.54mm Pitch","Connectors",34.76,4610
"KEMET","MLCC-0402-3972-S","SMD MLCC 10%","Capacitors",2.52,3556
"ROHM","ERJ-0805-1674-T","Precision Resistor 0.1W","Resistors",1.01,524
"Microchip","LM358-6875-U","Dual Operational Amplifier","Integrated Circuits",208.47,2679
"TE Connectivity","RJ45-8P8C-3425-V","Modular Jack Shielded","Connectors",41.46,2016
"Murata","TA-1206-6655-W","SMD MLCC 10%","Capacitors",2.29,166
"Yageo","ERJ-0805-4859-X","Precision Resistor 0.1W","Resistors",1.23,4752
"STMicroelectronics","ATMEGA-2066-Y","8-bit PIC MCU","Integrated Circuits",177.93,3041
"Amphenol","USBC-REC-2202-Z","Modular Jack Shielded","Connectors",32.62,3206
"KEMET","EC-RAD-9162-A","Tantalum Capacitor 16V","Capacitors",2.48,1963
"ROHM","RC-1206-6953-B","Thick Film Resistor 1%","Resistors",1.03,1267
"Texas Instruments","LM358-8828-C","Dual Operational Amplifier","Integrated Circuits",218.16,4767
"TE Connectivity","TERM-3P-5743-D","Modular Jack Shielded","Connectors",30.39,915
"Murata","TA-1206-9605-E","Electrolytic 25V","Capacitors",2.65,3536
"Yageo","MFR-TH-1133-F","Metal Film Axial","Resistors",1.18,1079
"Analog Devices","LM358-8248-G","8-bit PIC MCU","Integrated Circuits",221.03,4027
"Molex","RJ45-8P8C-4096-H","Pin Header 2.54mm Pitch","Connectors",41.42,3932
"Samsung Electromechanics","EC-RAD-7861-I","Ceramic Capacitor 50V","Capacitors",2.66,2298
"ROHM","CRCW-0603-4275-J","Precision Resistor 0.1W","Resistors",1.30,1170
"NXP","SN74HC-3377-K","8-bit AVR Microcontroller","Integrated Circuits",152.43,1630
"TE Connectivity","TERM-3P-7548-L","USB Type-C Receptacle","Connectors",37.87,3149
"TDK","EC-RAD-8443-M","Ceramic Capacitor 50V","Capacitors",2.63,2218
"Vishay","CRCW-0603-6774-N","Metal Film Axial","Resistors",1.06,3423
"Analog Devices","SN74HC-1928-O","8-bit AVR Microcontroller","Integrated Circuits",185.99,4182
"JST","TERM-3P-4853-P","USB Type-C Receptacle","Connectors",41.63,4299
"Murata","CC-0805-5556-Q","Ceramic Capacitor 50V","Capacitors",2.05,4660
"Panasonic","RC-1206-3535-R","Metal Film Axial","Resistors",1.22,1778
"Texas Instruments","SN74HC-5817-S","8-bit PIC MCU","Integrated Circuits",221.35,4857
"JST","RJ45-8P8C-4014-T","Pin Header 2.54mm Pitch","Connectors",38.94,2270
"Vishay","TA-1206-3922-U","SMD MLCC 10%","Capacitors",2.28,1230
"Bourns","CRCW-0603-6944-V","Thick Film Resistor 1%","Resistors",1.21,4731
"Texas Instruments","LM358-1270-W","NAND Gate Quad 2-Input","Integrated Circuits",176.57,4095
"JST","HDR-2X5-6736-X","Modular Jack Shielded","Connectors",29.03,1983
"Murata","MLCC-0402-3347-Y","Ceramic Capacitor 50V","Capacitors",2.12,4751
"Panasonic","MFR-TH-7963-Z","Precision Resistor 0.1W","Resistors",1.26,3491
"NXP","PIC16F-6924-A","32-bit MCU 64KB Flash","Integrated Circuits",204.61,2549
"Amphenol","TERM-3P-4780-B","Terminal Block 3-Pos","Connectors",28.91,3561
"Vishay","MLCC-0402-1546-C","Ceramic Capacitor 50V","Capacitors",2.88,3765
"Panasonic","RC-1206-5696-D","Metal Film Axial","Resistors",1.33,3104
"Analog Devices","STM32F7991-E","Dual Operational Amplifier","Integrated Circuits",217.51,2612
"Wurth Elektronik","HDR-2X5-8719-F","Modular Jack Shielded","Connectors",30.97,3159
"KEMET","CC-0805-4936-G","Tantalum Capacitor 16V","Capacitors",2.70,2955
"Panasonic","RC-1206-1802-H","Metal Film Axial","Resistors",1.35,3831
"Texas Instruments","SN74HC-7926-I","NAND Gate Quad 2-Input","Integrated Circuits",203.64,1944
"Wurth Elektronik","TERM-3P-1831-J","Pin Header 2.54mm Pitch","Connectors",29.43,791
"Vishay","TA-1206-7673-K","SMD MLCC 10%","Capacitors",2.61,539
"Yageo","MFR-TH-5727-L","Thick Film Resistor 1%","Resistors",1.31,3088
"Texas Instruments","LM358-9933-M","32-bit MCU 64KB Flash","Integrated Circuits",155.14,3819
"Amphenol","RJ45-8P8C-8269-N","Pin Header 2.54mm Pitch","Connectors",38.79,3648
"Murata","MLCC-0402-4554-O","Tantalum Capacitor 16V","Capacitors",2.74,166
"Panasonic","MFR-TH-1191-P","Metal Film Axial","Resistors",1.11,2217
"Texas Instruments","SN74HC-7835-Q","32-bit MCU 64KB Flash","Integrated Circuits",207.06,613
"TE Connectivity","TERM-3P-2156-R","USB Type-C Receptacle","Connectors",30.76,1998
"Vishay","MLCC-0402-9692-S","Tantalum Capacitor 16V","Capacitors",2.97,1234
"Bourns","ERJ-0805-6052-T","Metal Film Axial","Resistors",1.36,3457
"STMicroelectronics","STM32F7583-U","8-bit PIC MCU","Integrated Circuits",176.71,2105
"Molex","HDR-2X5-4100-V","USB Type-C Receptacle","Connectors",34.24,1059
"KEMET","EC-RAD-2463-W","Ceramic Capacitor 50V","Capacitors",2.31,3551
"Yageo","RC-1206-1725-X","Precision Resistor 0.1W","Resistors",1.31,2107
"NXP","STM32F7639-Y","32-bit MCU 64KB Flash","Integrated Circuits",207.13,2127
"TE Connectivity","USBC-REC-4687-Z","Terminal Block 3-Pos","Connectors",28.94,925
"TDK","EC-RAD-8652-A","Electrolytic 25V","Capacitors",2.44,295
"Yageo","MFR-TH-5367-B","Thick Film Resistor 1%","Resistors",1.38,408
"NXP","LM358-5026-C","Dual Operational Amplifier","Integrated Circuits",199.43,4949
"JST","RJ45-8P8C-2139-D","USB Type-C Receptacle","Connectors",37.86,1178
"KEMET","EC-RAD-9098-E","Tantalum Capacitor 16V","Capacitors",2.65,3555
"Panasonic","RC-1206-8320-F","Precision Resistor 0.1W","Resistors",1.01,4303
"Analog Devices","ATMEGA-7627-G","Dual Operational Amplifier","Integrated Circuits",207.44,2149
"Molex","HDR-2X5-6464-H","Pin Header 2.54mm Pitch","Connectors",33.92,411
"KEMET","TA-1206-1612-I","SMD MLCC 10%","Capacitors",2.50,963
"Vishay","ERJ-0805-9072-J","Thick Film Resistor 1%","Resistors",1.17,880
"NXP","STM32F1934-K","NAND Gate Quad 2-Input","Integrated Circuits",160.74,3934
"TE Connectivity","HDR-2X5-7994-L","Terminal Block 3-Pos","Connectors",31.81,739
"KEMET","CC-0805-6438-M","Electrolytic 25V","Capacitors",2.79,3343
"ROHM","CRCW-0603-5193-N","Precision Resistor 0.1W","Resistors",1.44,1660
"Analog Devices","PIC16F-9446-O","NAND Gate Quad 2-Input","Integrated Circuits",213.79,4100
"JST","HDR-2X5-1872-P","Modular Jack Shielded","Connectors",31.66,992
"TDK","EC-RAD-7271-Q","Electrolytic 25V","Capacitors",2.58,4367
"Vishay","CRCW-0603-9592-R","Thick Film Resistor 1%","Resistors",1.23,3395
"Microchip","ATMEGA-2877-S","Dual Operational Amplifier","Integrated Circuits",157.62,3268
"Wurth Elektronik","RJ45-8P8C-5087-T","Modular Jack Shielded","Connectors",31.00,3594
"Murata","MLCC-0402-3012-U","Ceramic Capacitor 50V","Capacitors",2.94,2430
"Bourns","CRCW-0603-7099-V","Metal Film Axial","Resistors",1.32,2064
"STMicroelectronics","LM358-7976-W","8-bit PIC MCU","Integrated Circuits",209.77,2498
"JST","USBC-REC-5219-X","USB Type-C Receptacle","Connectors",35.19,4958
"Vishay","TA-1206-6313-Y","Electrolytic 25V","Capacitors",2.92,4483
"Vishay","MFR-TH-6339-Z","Thin Film SMD Resistor","Resistors",1.37,2548
"Microchip","LM358-3468-A","32-bit MCU 64KB Flash","Integrated Circuits",162.86,4170
"TE Connectivity","TERM-3P-7066-B","Terminal Block 3-Pos","Connectors",38.46,1927
"TDK","EC-RAD-2158-C","SMD MLCC 10%","Capacitors",2.45,4556
"Yageo","RC-1206-7400-D","Thick Film Resistor 1%","Resistors",1.27,4386
"Microchip","SN74HC-5390-E","8-bit AVR Microcontroller","Integrated Circuits",166.98,1905
"Molex","RJ45-8P8C-1097-F","Modular Jack Shielded","Connectors",34.64,2734
"Murata","TA-1206-8072-G","Electrolytic 25V","Capacitors",2.12,3614
"Yageo","RC-1206-1574-H","Thin Film SMD Resistor","Resistors",1.22,1394
"Microchip","STM32F7381-I","32-bit MCU 64KB Flash","Integrated Circuits",189.12,3629
"TE Connectivity","USBC-REC-3159-J","USB Type-C Receptacle","Connectors",38.92,375
"Samsung Electromechanics","TA-1206-6438-K","Electrolytic 25V","Capacitors",2.35,1118
"ROHM","MFR-TH-2964-L","Metal Film Axial","Resistors",1.33,3302
"NXP","LM358-3109-M","Dual Operational Amplifier","Integrated Circuits",148.56,3837
"JST","HDR-2X5-5367-N","Terminal Block 3-Pos","Connectors",38.69,2359
"KEMET","EC-RAD-9388-O","SMD MLCC 10%","Capacitors",2.54,3886
"Vishay","MFR-TH-6491-P","Precision Resistor 0.1W","Resistors",1.13,1352
"Analog Devices","LM358-8280-Q","8-bit AVR Microcontroller","Integrated Circuits",157.15,2098
"Amphenol","HDR-2X5-6891-R","Pin Header 2.54mm Pitch","Connectors",28.62,3323
"KEMET","EC-RAD-4952-S","Electrolytic 25V","Capacitors",2.77,1374
"Bourns","MFR-TH-9457-T","Metal Film Axial","Resistors",1.37,1057
"Microchip","PIC16F-2080-U","32-bit MCU 64KB Flash","Integrated Circuits",195.63,1907
"Amphenol","HDR-2X5-4448-V","Modular Jack Shielded","Connectors",41.11,3360
"TDK","TA-1206-6590-W","Tantalum Capacitor 16V","Capacitors",2.45,1738
"Yageo","MFR-TH-2933-X","Thin Film SMD Resistor","Resistors",1.11,1215
"Texas Instruments","SN74HC-1181-Y","Dual Operational Amplifier","Integrated Circuits",156.44,171
"Molex","TERM-3P-6431-Z","Terminal Block 3-Pos","Connectors",36.80,2262
"Vishay","TA-1206-1426-A","SMD MLCC 10%","Capacitors",2.40,2673
"Panasonic","CRCW-0603-8854-B","Thick Film Resistor 1%","Resistors",1.26,3749
"Texas Instruments","STM32F9338-C","NAND Gate Quad 2-Input","Integrated Circuits",158.41,1481
"Wurth Elektronik","HDR-2X5-2381-D","Modular Jack Shielded","Connectors",33.40,4577
"Vishay","EC-RAD-7925-E","SMD MLCC 10%","Capacitors",2.39,4451
"Yageo","RC-1206-2458-F","Thick Film Resistor 1%","Resistors",1.27,4958
"Texas Instruments","PIC16F-9880-G","NAND Gate Quad 2-Input","Integrated Circuits",189.93,4265
"Molex","RJ45-8P8C-1209-H","USB Type-C Receptacle","Connectors",40.46,1550
"KEMET","CC-0805-6360-I","Electrolytic 25V","Capacitors",2.30,2081
"Panasonic","MFR-TH-6181-J","Precision Resistor 0.1W","Resistors",1.36,2197
"NXP","LM358-7394-K","8-bit AVR Microcontroller","Integrated Circuits",148.70,750
"JST","RJ45-8P8C-5714-L","USB Type-C Receptacle","Connectors",40.46,3939
"KEMET","CC-0805-8617-M","Ceramic Capacitor 50V","Capacitors",2.03,4924
"Vishay","MFR-TH-9604-N","Thin Film SMD Resistor","Resistors",1.01,454
"Analog Devices","LM358-9549-O","8-bit AVR Microcontroller","Integrated Circuits",162.11,255
"Amphenol","TERM-3P-1170-P","Pin Header 2.54mm Pitch","Connectors",39.00,1570
"TDK","CC-0805-9849-Q","Ceramic Capacitor 50V","Capacitors",2.72,2436
"Yageo","CRCW-0603-5018-R","Precision Resistor 0.1W","Resistors",1.33,3971
"Microchip","PIC16F-9681-S","8-bit PIC MCU","Integrated Circuits",199.06,3681
"JST","USBC-REC-3960-T","USB Type-C Receptacle","Connectors",29.01,411
"Murata","TA-1206-7657-U","Electrolytic 25V","Capacitors",2.86,1185
"ROHM","RC-1206-6983-V","Thick Film Resistor 1%","Resistors",1.31,2297
"Analog Devices","ATMEGA-7368-W","Dual Operational Amplifier","Integrated Circuits",186.92,3245
"Wurth Elektronik","USBC-REC-8429-X","Terminal Block 3-Pos","Connectors",28.39,4193
"Vishay","MLCC-0402-6317-Y","SMD MLCC 10%","Capacitors",2.13,3393
"ROHM","CRCW-0603-4547-Z","Thin Film SMD Resistor","Resistors",1.09,3088
"NXP","ATMEGA-9085-A","32-bit MCU 64KB Flash","Integrated Circuits",210.89,4852
"Wurth Elektronik","RJ45-8P8C-3754-B","USB Type-C Receptacle","Connectors",40.53,2731
"TDK","MLCC-0402-6036-C","SMD MLCC 10%","Capacitors",2.04,3634
"Panasonic","MFR-TH-9534-D","Thick Film Resistor 1%","Resistors",1.27,1406
"Analog Devices","PIC16F-2320-E","8-bit PIC MCU","Integrated Circuits",215.33,1339
"Wurth Elektronik","TERM-3P-1303-F","Modular Jack Shielded","Connectors",33.24,3984
"Murata","MLCC-0402-6456-G","SMD MLCC 10%","Capacitors",2.75,3188
"Bourns","RC-1206-6292-H","Thin Film SMD Resistor","Resistors",1.03,1498
"STMicroelectronics","ATMEGA-7700-I","Dual Operational Amplifier","Integrated Circuits",179.03,2438
"Wurth Elektronik","TERM-3P-2530-J","Modular Jack Shielded","Connectors",30.97,4312
"Samsung Electromechanics","TA-1206-8949-K","Electrolytic 25V","Capacitors",2.98,1870
"Bourns","RC-1206-3834-L","Thin Film SMD Resistor","Resistors",1.18,1032
"NXP","PIC16F-3540-M","NAND Gate Quad 2-Input","Integrated Circuits",193.53,4836
"Wurth Elektronik","USBC-REC-8149-N","Modular Jack Shielded","Connectors",39.30,1137
"Samsung Electromechanics","CC-0805-2326-O","Ceramic Capacitor 50V","Capacitors",2.52,1770
"ROHM","RC-1206-7062-P","Metal Film Axial","Resistors",1.21,1169
"STMicroelectronics","SN74HC-8830-Q","NAND Gate Quad 2-Input","Integrated Circuits",178.71,1676
"TE Connectivity","RJ45-8P8C-9753-R","Modular Jack Shielded","Connectors",31.21,2425
"Samsung Electromechanics","EC-RAD-1802-S","Tantalum Capacitor 16V","Capacitors",2.33,4445
"Bourns","RC-1206-3065-T","Precision Resistor 0.1W","Resistors",1.18,159
"Microchip","LM358-7307-U","NAND Gate Quad 2-Input","Integrated Circuits",172.00,1202
"TE Connectivity","USBC-REC-1894-V","Modular Jack Shielded","Connectors",35.68,886
"Samsung Electromechanics","CC-0805-8336-W","Ceramic Capacitor 50V","Capacitors",2.56,1623
"Vishay","ERJ-0805-3762-X","Thick Film Resistor 1%","Resistors",1.25,4959
"NXP","SN74HC-7464-Y","8-bit PIC MCU","Integrated Circuits",183.29,240
"TE Connectivity","HDR-2X5-4680-Z","Terminal Block 3-Pos","Connectors",29.11,2720
"Murata","CC-0805-4130-A","SMD MLCC 10%","Capacitors",2.94,980
"Panasonic","ERJ-0805-1096-B","Metal Film Axial","Resistors",0.99,1453
"Analog Devices","PIC16F-8994-C","8-bit AVR Microcontroller","Integrated Circuits",221.36,2989
"TE Connectivity","USBC-REC-4235-D","Pin Header 2.54mm Pitch","Connectors",38.21,1611
"TDK","EC-RAD-4038-E","Electrolytic 25V","Capacitors",2.39,1982
